Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,y_labels
2,298.6,310.1,1458,41.9,61,1,No Failure
0,296.7,307.9,1424,53.8,133,1,No Failure
1,300.6,310.6,1454,39.7,67,1,No Failure
0,297.9,307.7,1618,35.9,92,1,No Failure
2,304.2,313.5,1532,41.3,161,1,No Failure
1,299.9,309.4,1322,53.9,33,1,No Failure
1,301.1,311.2,1774,29.6,186,1,No Failure
1,299.4,309.0,1436,47.9,75,1,No Failure
1,298.4,309.5,2153,15.3,98,3,Power Failure
1,302.1,311.2,1454,59.2,153,3,Power Failure
1,296.8,308.0,1391,54.4,17,1,No Failure
2,300.7,311.0,1706,25.0,153,1,No Failure
2,304.0,313.0,1454,46.8,30,1,No Failure
1,297.4,308.4,1328,61.8,98,1,No Failure
1,298.6,309.3,1449,46.5,26,1,No Failure
1,302.5,311.9,1452,47.4,77,1,No Failure
2,298.5,308.6,1344,53.0,114,1,No Failure
1,303.8,312.9,1573,34.6,14,1,No Failure
1,300.4,309.9,1376,43.5,74,1,No Failure
2,300.9,310.8,1402,48.1,22,1,No Failure
1,300.7,310.8,1486,37.1,186,1,No Failure
1,303.6,312.7,1429,47.7,198,1,No Failure
1,300.0,311.5,1445,41.6,81,1,No Failure
1,303.9,313.1,1440,41.1,12,1,No Failure
1,302.0,311.1,1406,50.5,187,1,No Failure
2,302.3,311.7,1535,38.3,5,1,No Failure
1,301.8,310.3,1688,28.8,31,1,No Failure
1,296.7,307.8,1605,31.3,128,1,No Failure
0,301.9,309.8,1724,27.5,126,1,No Failure
2,301.7,311.0,1311,46.8,136,1,No Failure
0,301.4,310.6,1674,33.6,49,1,No Failure
1,298.3,308.0,2886,3.8,57,3,Power Failure
2,300.4,309.7,1488,42.2,133,1,No Failure
2,298.5,308.6,1897,20.2,50,1,No Failure
2,301.8,310.7,1429,47.9,53,1,No Failure
1,299.7,309.2,1478,38.8,199,1,No Failure
1,300.4,309.6,1386,56.9,170,1,No Failure
1,297.9,307.8,1459,46.9,85,1,No Failure
2,298.2,308.3,1476,43.5,129,1,No Failure
1,297.3,308.6,1446,50.1,144,1,No Failure
1,298.7,310.2,1363,45.5,28,1,No Failure
0,302.3,311.6,1441,53.9,74,1,No Failure
1,299.8,309.6,1447,43.1,12,1,No Failure
1,303.7,312.7,1335,51.1,161,1,No Failure
1,299.5,308.9,1520,38.3,122,1,No Failure
2,303.4,312.9,1422,39.9,63,1,No Failure
2,300.8,309.7,1680,28.2,189,1,No Failure
2,300.9,310.2,1533,38.1,137,1,No Failure
1,296.5,307.5,1443,41.8,87,1,No Failure
2,302.1,310.0,1355,45.1,6,0,Heat Dissipation Failure
2,297.3,308.3,1657,31.1,8,1,No Failure
1,297.1,308.4,1529,40.4,165,1,No Failure
0,299.8,309.3,1595,32.1,183,1,No Failure
1,298.1,308.7,1683,29.1,161,1,No Failure
2,302.2,310.8,1408,46.8,49,1,No Failure
1,298.6,309.8,1497,41.6,118,1,No Failure
0,298.1,307.7,1376,56.2,113,1,No Failure
1,299.1,310.6,1796,26.0,90,1,No Failure
1,298.5,309.0,1458,44.8,217,1,No Failure
2,299.4,309.1,1352,44.7,172,1,No Failure
1,300.6,310.1,1495,42.3,132,1,No Failure
2,299.0,310.4,1625,37.1,131,1,No Failure
1,300.3,309.8,1450,55.0,135,1,No Failure
1,297.7,309.1,1563,39.3,56,1,No Failure
1,300.7,312.3,1715,26.8,146,1,No Failure
0,298.6,309.5,1584,31.8,27,1,No Failure
1,299.2,308.5,1438,46.6,63,1,No Failure
1,303.7,312.9,1502,40.5,0,1,No Failure
0,297.7,307.1,1855,22.5,7,1,No Failure
1,299.5,310.0,1349,52.7,92,1,No Failure
1,299.0,308.7,2248,16.8,204,1,No Failure
1,300.3,310.3,1704,29.5,0,1,No Failure
1,297.7,309.2,1365,58.6,170,1,No Failure
1,297.1,307.9,1496,44.7,88,1,No Failure
1,300.8,312.0,1374,50.2,154,1,No Failure
1,297.5,308.6,1671,29.4,136,1,No Failure
2,298.7,309.7,1362,50.5,34,1,No Failure
1,299.8,309.7,1483,39.6,87,1,No Failure
1,298.3,308.4,1490,41.7,170,1,No Failure
2,301.1,310.5,1603,32.6,121,1,No Failure
1,298.2,309.0,1651,31.5,197,1,No Failure
2,301.1,311.2,1407,53.0,165,1,No Failure
1,297.8,308.8,1579,32.9,70,1,No Failure
1,303.7,312.8,1437,51.3,42,1,No Failure
2,300.7,311.3,1562,37.1,58,1,No Failure
1,299.3,308.6,1314,48.2,65,1,No Failure
1,301.8,310.7,1551,37.7,64,1,No Failure
2,297.6,308.9,1433,43.2,206,1,No Failure
1,301.3,311.3,1509,42.5,213,1,No Failure
2,298.8,309.9,1415,53.2,194,1,No Failure
1,298.2,308.7,1605,29.4,47,1,No Failure
2,298.5,309.3,1498,34.6,46,1,No Failure
1,300.9,310.7,1517,41.7,210,1,No Failure
1,298.7,310.2,1404,50.3,54,1,No Failure
2,301.1,310.6,1429,52.7,35,1,No Failure
1,300.2,311.8,1798,23.2,210,1,No Failure
2,302.3,311.4,1345,47.6,67,1,No Failure
1,298.7,309.6,1665,31.1,178,1,No Failure
1,299.1,308.3,1305,61.4,17,1,No Failure
1,302.2,310.7,1567,36.4,100,1,No Failure
2,298.0,308.6,1254,55.8,65,1,No Failure
2,298.4,309.3,1390,53.6,5,1,No Failure
0,298.9,308.5,1415,54.0,6,1,No Failure
1,298.3,309.4,1468,46.2,10,1,No Failure
1,297.6,308.3,1424,53.9,132,1,No Failure
2,299.2,309.1,1503,34.7,6,1,No Failure
0,300.5,312.0,1375,43.2,108,1,No Failure
1,300.8,309.4,1489,38.4,109,1,No Failure
1,300.3,311.5,1446,45.0,82,1,No Failure
1,302.3,312.0,1398,43.3,171,1,No Failure
2,302.2,311.7,1466,49.0,66,1,No Failure
1,300.1,309.2,1783,27.3,118,1,No Failure
2,303.4,311.7,1690,34.9,189,1,No Failure
1,300.3,311.1,1676,28.6,158,1,No Failure
1,298.9,310.1,1361,51.7,192,1,No Failure
2,298.7,310.0,1519,38.1,198,1,No Failure
1,297.7,309.1,1562,36.8,172,1,No Failure
1,299.2,309.1,1468,45.6,2,1,No Failure
1,300.6,310.0,1511,36.9,105,1,No Failure
1,300.1,310.1,1650,31.6,19,1,No Failure
1,297.5,308.6,1694,27.1,36,1,No Failure
2,300.4,309.9,1415,31.8,192,1,No Failure
0,303.4,311.9,1402,50.0,54,1,No Failure
2,298.1,307.9,1303,53.9,52,1,No Failure
1,297.4,308.8,1447,58.1,129,1,No Failure
0,299.2,310.6,1434,48.4,153,1,No Failure
1,297.3,308.1,1566,35.7,156,1,No Failure
2,299.9,311.4,1337,54.8,32,1,No Failure
1,298.4,308.6,1477,44.0,124,1,No Failure
2,301.4,310.3,1610,29.1,166,1,No Failure
1,298.7,309.9,1404,47.1,64,1,No Failure
1,300.3,309.9,1570,34.0,31,1,No Failure
1,302.7,310.5,1642,30.8,195,1,No Failure
1,299.2,308.3,1410,43.0,26,1,No Failure
2,300.6,310.2,1532,38.7,16,1,No Failure
1,298.8,309.1,1439,39.2,104,1,No Failure
1,301.1,311.2,1555,35.3,172,1,No Failure
1,303.3,311.4,1510,37.3,36,1,No Failure
0,301.0,312.2,1489,40.3,117,1,No Failure
2,300.7,310.3,1659,29.8,6,1,No Failure
1,301.7,310.9,1636,31.3,42,1,No Failure
1,302.4,310.3,1479,36.2,115,1,No Failure
2,298.9,310.1,1484,40.4,61,1,No Failure
1,300.2,309.5,1356,51.1,133,1,No Failure
1,303.8,312.5,1372,45.7,180,1,No Failure
1,297.4,308.5,1486,48.6,75,1,No Failure
1,298.8,309.9,1550,38.8,53,1,No Failure
1,303.3,311.8,1842,24.5,67,1,No Failure
2,302.6,310.2,2676,10.8,84,3,Power Failure
1,299.8,309.5,1739,27.5,128,1,No Failure
2,300.2,310.1,1619,31.3,38,1,No Failure
0,300.7,309.6,1390,48.5,7,1,No Failure
2,299.9,309.2,1683,30.5,13,1,No Failure
2,298.3,307.8,1485,42.0,13,1,No Failure
0,297.8,309.2,1648,33.0,29,1,No Failure
1,299.2,308.4,1465,35.0,201,1,No Failure
1,301.1,311.1,1508,41.5,184,1,No Failure
2,298.7,309.5,1394,46.0,113,1,No Failure
2,299.4,308.7,1487,52.6,205,1,No Failure
1,299.2,310.4,1611,36.4,32,1,No Failure
2,300.5,312.0,1985,19.3,143,1,No Failure
1,297.5,308.3,1437,42.3,29,1,No Failure
2,300.7,310.5,1594,31.0,196,1,No Failure
0,302.7,310.4,1305,55.2,20,0,Heat Dissipation Failure
0,299.0,308.7,1940,19.9,98,1,No Failure
2,299.8,309.1,1355,56.7,7,1,No Failure
2,302.6,312.1,2000,21.9,200,1,No Failure
2,296.8,307.5,1470,45.9,132,1,No Failure
1,301.7,310.6,1660,28.7,66,1,No Failure
1,302.7,312.2,1572,34.4,228,1,No Failure
2,300.9,309.7,1394,48.8,192,1,No Failure
0,300.8,310.6,1465,44.1,136,1,No Failure
1,300.1,309.6,1565,34.8,32,1,No Failure
2,298.1,308.7,1362,49.6,158,1,No Failure
1,296.9,307.7,1653,35.9,177,1,No Failure
2,298.1,307.9,1759,28.6,176,1,No Failure
1,302.3,311.6,1665,34.3,139,1,No Failure
1,303.4,312.9,1389,54.1,109,1,No Failure
1,302.2,310.9,1531,37.5,60,1,No Failure
1,299.8,309.4,2256,15.9,201,1,No Failure
1,300.3,309.6,1326,52.4,57,1,No Failure
1,303.7,312.3,1349,51.0,105,1,No Failure
1,299.2,308.9,1368,47.2,175,1,No Failure
2,300.9,310.0,1416,46.6,201,1,No Failure
1,298.0,307.6,1450,48.7,138,1,No Failure
1,300.4,310.1,1503,42.2,196,1,No Failure
2,300.2,311.6,1513,40.8,157,1,No Failure
0,300.2,309.7,1483,43.8,108,1,No Failure
2,300.1,309.7,1348,57.3,48,1,No Failure
1,297.6,308.3,1595,34.3,41,1,No Failure
0,299.4,308.6,1542,41.8,166,1,No Failure
1,304.2,313.3,1668,35.7,180,1,No Failure
0,300.9,311.9,1513,38.0,38,1,No Failure
1,300.1,311.5,1499,43.4,65,1,No Failure
2,304.1,313.3,1480,38.4,72,1,No Failure
1,297.4,309.2,1428,38.8,26,1,No Failure
0,302.9,312.3,1754,26.9,209,1,No Failure
1,297.5,308.6,1380,53.5,192,1,No Failure
2,302.3,311.2,1842,23.9,111,1,No Failure
1,301.4,310.6,1481,37.6,77,1,No Failure
2,298.5,308.0,1713,25.8,154,1,No Failure
2,298.4,309.5,1484,41.7,119,1,No Failure
1,300.4,311.1,1487,37.4,162,1,No Failure
1,304.3,313.3,1775,24.9,39,1,No Failure
1,297.6,309.0,1487,45.4,64,1,No Failure
1,299.4,309.1,1957,22.1,55,1,No Failure
2,297.6,308.3,1567,34.6,71,1,No Failure
0,301.6,310.7,1414,51.7,197,1,No Failure
1,298.8,308.4,1401,47.3,10,1,No Failure
1,299.9,311.3,1802,24.4,151,1,No Failure
1,300.9,310.9,1497,43.2,62,1,No Failure
1,302.2,311.5,1427,43.8,88,1,No Failure
2,301.8,309.8,1546,39.8,121,1,No Failure
2,302.2,310.9,1302,53.4,58,1,No Failure
0,304.1,313.3,1397,49.6,34,1,No Failure
1,297.4,308.3,1561,38.3,0,1,No Failure
1,300.8,311.4,1322,67.2,18,3,Power Failure
2,295.6,306.1,1462,49.2,158,1,No Failure
2,301.8,311.1,1413,42.2,9,1,No Failure
1,297.9,307.6,1344,54.3,151,1,No Failure
2,299.7,310.5,1492,39.3,131,1,No Failure
1,297.6,309.5,1373,50.6,55,1,No Failure
0,302.0,309.8,1280,57.3,147,0,Heat Dissipation Failure
2,301.4,310.9,1557,39.3,174,1,No Failure
0,298.5,309.4,1573,36.0,97,1,No Failure
1,298.3,309.3,1337,56.1,206,2,Overstrain Failure
2,303.0,312.5,1602,33.7,135,1,No Failure
0,298.0,308.8,1411,53.8,73,1,No Failure
1,298.6,308.4,1397,46.4,36,1,No Failure
2,300.0,311.3,1629,32.1,55,1,No Failure
2,303.1,312.4,1378,50.1,104,1,No Failure
1,300.3,309.2,1807,26.4,169,1,No Failure
2,297.3,308.0,1403,45.0,77,1,No Failure
0,298.0,307.4,1606,35.2,195,1,No Failure
1,297.5,309.4,1497,35.8,44,1,No Failure
1,301.4,310.7,1706,27.9,170,1,No Failure
1,301.2,310.9,1597,37.9,164,1,No Failure
2,303.2,311.5,1336,58.2,2,0,Heat Dissipation Failure
0,300.7,310.2,1479,52.3,9,1,No Failure
2,302.4,311.8,1358,50.6,133,1,No Failure
1,300.3,311.4,1343,57.7,142,1,No Failure
1,298.2,308.9,1367,45.0,85,1,No Failure
2,298.7,309.2,1437,45.7,195,1,No Failure
2,304.0,313.0,1575,34.5,92,1,No Failure
1,297.9,307.7,1537,37.7,15,1,No Failure
0,302.8,311.0,1436,43.5,47,1,No Failure
2,303.4,312.8,1518,38.7,103,1,No Failure
1,301.4,310.8,1431,44.3,21,1,No Failure
1,299.7,310.9,1384,48.2,188,1,No Failure
0,297.5,308.6,1536,38.7,7,1,No Failure
0,299.9,311.2,1495,35.8,175,1,No Failure
1,300.7,311.7,1460,46.1,15,1,No Failure
1,300.0,309.4,1460,43.5,102,1,No Failure
2,298.1,308.8,1628,37.6,12,1,No Failure
1,297.9,309.8,1336,71.6,31,3,Power Failure
1,298.8,308.6,1501,35.0,55,1,No Failure
1,301.5,310.1,1541,42.2,52,1,No Failure
2,299.1,310.6,1449,43.2,80,1,No Failure
1,301.9,310.6,1610,33.4,87,1,No Failure
2,297.6,308.6,1390,53.4,175,1,No Failure
2,301.9,309.7,1568,37.5,135,1,No Failure
1,298.1,308.6,1439,44.9,205,1,No Failure
2,297.6,308.7,1408,54.8,147,1,No Failure
1,298.2,308.2,1478,50.1,166,1,No Failure
1,301.2,310.7,1676,32.4,98,1,No Failure
1,299.5,309.3,1523,41.5,181,1,No Failure
1,297.3,308.5,1764,30.8,148,1,No Failure
1,300.2,309.1,1479,47.0,22,1,No Failure
1,300.6,310.5,1642,29.9,100,1,No Failure
1,298.3,308.3,1452,45.5,63,1,No Failure
2,300.9,310.9,1636,35.3,153,1,No Failure
2,302.2,311.4,1626,31.6,62,1,No Failure
1,301.1,311.4,1531,38.7,55,1,No Failure
1,298.6,308.4,1562,34.4,25,1,No Failure
2,300.3,311.3,1377,53.8,125,1,No Failure
1,302.1,310.5,1696,30.9,107,1,No Failure
1,298.8,310.0,1528,36.7,147,1,No Failure
1,301.2,310.8,1233,64.6,45,1,No Failure
1,303.7,312.3,1922,23.1,193,1,No Failure
0,302.7,310.8,1275,55.0,25,0,Heat Dissipation Failure
2,302.3,311.8,1879,23.0,124,1,No Failure
2,300.7,311.0,1263,52.3,104,1,No Failure
2,300.9,311.0,1567,34.3,130,1,No Failure
1,300.6,309.6,1682,30.7,78,1,No Failure
0,299.7,309.2,1456,40.6,182,1,No Failure
1,299.7,311.1,1554,41.0,192,1,No Failure
1,297.1,307.8,1454,50.6,94,1,No Failure
1,301.4,310.5,1380,48.4,131,1,No Failure
0,303.1,311.3,1494,42.7,221,1,No Failure
1,297.4,308.8,1467,39.0,128,1,No Failure
1,301.5,310.4,1329,46.6,24,1,No Failure
2,301.3,310.8,1509,40.1,25,1,No Failure
2,297.6,309.6,1330,53.1,7,1,No Failure
1,297.1,307.8,1584,42.3,135,1,No Failure
1,300.7,311.7,1635,32.4,213,1,No Failure
0,300.4,309.9,1513,38.7,76,1,No Failure
1,297.6,308.3,1742,27.7,13,1,No Failure
1,303.0,311.1,1980,20.2,137,1,No Failure
2,302.4,311.1,1480,45.7,200,1,No Failure
1,301.1,311.3,1268,60.0,53,1,No Failure
2,297.6,308.6,1482,38.3,39,1,No Failure
2,302.7,310.5,1398,47.3,70,1,No Failure
1,303.9,313.3,1526,40.7,164,1,No Failure
2,303.4,311.7,1515,44.2,168,1,No Failure
2,298.3,308.1,1722,28.6,89,1,No Failure
1,303.8,313.1,1309,55.8,193,1,No Failure
1,300.6,311.5,1459,47.0,63,1,No Failure
1,303.1,312.4,1407,41.2,107,1,No Failure
1,301.3,311.0,1542,33.6,80,1,No Failure
2,302.6,311.0,1542,39.7,141,1,No Failure
1,301.1,310.5,1428,44.1,103,1,No Failure
1,299.1,310.3,1411,42.1,74,1,No Failure
1,300.2,310.6,1431,42.3,113,1,No Failure
2,300.5,311.9,1323,57.9,155,1,No Failure
2,299.8,309.7,1320,61.7,134,1,No Failure
2,300.0,309.0,1368,45.8,81,1,No Failure
1,297.9,307.6,1481,38.0,40,1,No Failure
2,297.5,308.6,1349,51.5,21,1,No Failure
1,301.9,310.3,1398,44.0,65,1,No Failure
1,297.9,308.0,1296,62.9,41,1,No Failure
2,298.1,307.8,1384,43.7,200,1,No Failure
1,298.8,310.6,1602,39.1,211,1,No Failure
2,303.6,311.8,1659,34.7,94,1,No Failure
2,302.0,311.1,1406,48.8,159,1,No Failure
1,299.0,310.0,1484,39.6,212,1,No Failure
1,298.9,310.2,1409,54.8,140,1,No Failure
1,302.3,310.7,1402,50.9,157,1,No Failure
0,296.8,307.8,1627,30.5,117,1,No Failure
2,303.6,313.0,1396,38.2,117,1,No Failure
2,298.3,308.5,1434,46.2,148,1,No Failure
1,298.4,309.1,1579,36.1,123,1,No Failure
1,301.6,310.7,1494,39.5,24,1,No Failure
1,299.0,310.2,1494,40.6,67,1,No Failure
1,299.6,310.8,1507,42.4,108,1,No Failure
1,300.8,309.8,1657,31.1,151,1,No Failure
1,300.7,312.3,1548,37.9,58,1,No Failure
2,301.4,310.6,1855,25.3,178,1,No Failure
2,300.4,310.2,1671,30.5,234,5,Tool Wear Failure
1,300.5,311.9,1403,45.7,54,1,No Failure
2,299.6,310.1,1646,29.6,73,1,No Failure
1,303.9,313.2,1590,31.9,5,1,No Failure
1,302.1,310.9,1666,30.7,203,1,No Failure
2,303.6,312.0,1435,37.9,98,1,No Failure
2,300.4,311.7,1555,38.7,5,1,No Failure
1,299.8,309.4,1408,45.6,156,1,No Failure
2,300.5,309.9,1343,63.7,124,1,No Failure
1,298.4,309.6,1479,37.8,144,1,No Failure
1,302.7,311.8,1461,46.1,10,1,No Failure
2,301.9,311.1,1417,52.5,171,1,No Failure
1,297.1,307.8,1636,30.3,90,1,No Failure
1,299.3,309.0,1734,30.6,154,1,No Failure
1,300.3,311.8,1746,26.3,187,1,No Failure
1,299.3,309.2,1775,24.2,125,1,No Failure
1,301.0,311.0,1399,58.0,190,2,Overstrain Failure
1,297.4,309.2,1698,29.4,119,1,No Failure
1,300.2,309.7,1771,27.1,104,1,No Failure
2,301.3,310.4,1577,48.3,78,1,No Failure
1,297.3,308.6,1385,55.2,156,1,No Failure
1,302.1,311.5,1444,44.9,97,1,No Failure
0,300.7,312.4,1457,47.2,74,1,No Failure
1,300.0,310.2,1760,26.9,193,1,No Failure
1,296.9,307.8,1653,29.7,137,1,No Failure
2,300.6,312.0,1490,39.8,94,1,No Failure
1,295.9,306.6,1557,41.1,113,1,No Failure
1,300.7,310.6,1407,40.5,87,1,No Failure
1,297.8,307.8,1761,28.9,128,1,No Failure
1,297.5,308.5,1373,39.9,110,1,No Failure
1,297.4,308.5,1692,34.3,83,1,No Failure
1,301.0,310.5,1379,57.3,204,2,Overstrain Failure
2,299.8,309.4,1439,47.4,57,1,No Failure
1,299.4,310.8,1622,33.6,217,1,No Failure
1,300.6,309.4,1549,43.4,233,1,No Failure
1,302.9,312.6,1328,59.9,24,1,No Failure
0,302.2,310.9,1415,48.4,185,1,No Failure
1,299.9,310.5,1539,32.8,213,1,No Failure
2,298.4,309.7,1679,33.3,167,1,No Failure
2,298.7,309.9,1458,40.2,137,1,No Failure
1,299.3,310.8,1483,43.5,15,1,No Failure
2,298.2,307.9,1462,38.8,124,1,No Failure
1,298.5,309.7,1613,36.7,0,1,No Failure
1,297.8,307.5,1391,48.6,109,1,No Failure
1,300.4,310.5,1578,32.8,26,1,No Failure
1,300.2,311.6,1999,21.0,19,1,No Failure
2,302.3,311.0,1526,37.7,171,1,No Failure
2,302.2,311.2,1360,52.8,176,1,No Failure
1,301.5,310.6,1998,20.2,210,1,No Failure
2,295.5,305.9,1380,52.4,202,1,No Failure
2,300.8,311.1,1583,32.1,116,1,No Failure
0,298.3,309.4,1631,29.8,0,1,No Failure
2,298.9,308.7,1402,49.8,167,1,No Failure
1,300.3,311.7,1821,26.3,202,1,No Failure
2,297.2,308.3,1429,42.0,6,1,No Failure
2,302.2,310.9,1771,27.6,54,1,No Failure
2,297.9,309.0,1970,21.6,37,1,No Failure
1,298.1,308.3,1495,38.7,188,1,No Failure
0,300.3,311.7,1432,47.7,61,1,No Failure
1,298.3,309.1,1395,49.8,133,1,No Failure
0,303.1,312.8,1435,41.9,115,1,No Failure
1,298.4,309.5,1357,50.1,125,1,No Failure
1,299.3,308.4,1406,47.4,3,1,No Failure
1,297.9,309.0,1382,43.9,116,1,No Failure
0,297.0,307.8,1404,40.7,184,1,No Failure
2,300.6,310.2,1478,40.1,5,1,No Failure
1,299.5,310.7,1438,45.7,106,1,No Failure
0,300.2,311.4,1319,54.6,15,1,No Failure
1,297.4,309.2,1459,37.9,191,1,No Failure
2,296.6,307.5,1734,27.0,50,1,No Failure
2,299.4,309.3,1485,47.1,209,1,No Failure
2,302.2,311.2,1627,33.2,74,1,No Failure
0,300.9,310.8,1390,40.6,131,1,No Failure
1,302.4,311.4,1564,35.0,122,1,No Failure
1,303.1,312.9,1511,40.1,107,1,No Failure
2,297.4,308.7,1392,46.4,174,1,No Failure
1,297.3,308.4,1441,43.4,14,1,No Failure
1,303.0,312.3,1533,38.5,134,1,No Failure
0,300.1,311.5,1422,46.2,134,1,No Failure
2,300.6,310.6,1427,52.8,75,1,No Failure
1,303.7,312.5,1462,46.2,165,1,No Failure
2,297.8,307.4,1752,26.1,52,1,No Failure
1,303.1,312.8,2329,15.1,113,1,No Failure
1,297.2,308.6,1392,41.5,108,1,No Failure
2,303.3,312.6,1482,44.4,73,1,No Failure
1,301.4,310.5,1647,33.3,85,1,No Failure
1,298.9,308.6,2069,18.7,27,1,No Failure
2,297.8,307.8,1543,43.7,8,1,No Failure
1,298.8,309.8,1508,36.3,69,1,No Failure
1,298.9,308.9,1422,47.6,15,1,No Failure
1,299.9,309.6,1280,59.3,163,1,No Failure
0,297.8,308.4,1550,38.2,185,1,No Failure
2,300.8,310.7,1452,43.0,139,1,No Failure
2,303.5,312.9,1438,42.8,106,1,No Failure
1,300.5,309.3,1465,46.0,89,1,No Failure
2,298.8,310.1,1243,74.5,194,3,Power Failure
2,297.1,308.1,1352,44.4,0,1,No Failure
1,297.4,308.4,1580,41.2,66,1,No Failure
2,295.4,305.8,1526,38.2,181,1,No Failure
1,302.1,311.5,1987,20.1,21,1,No Failure
1,298.9,310.2,1362,53.0,185,1,No Failure
0,300.6,310.7,1501,45.3,175,1,No Failure
1,301.4,310.8,1543,36.9,97,1,No Failure
1,302.3,311.7,1510,38.7,141,1,No Failure
0,299.3,309.1,1552,40.7,120,1,No Failure
