Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
2,302.1,310.0,1355,45.1,6,Heat Dissipation Failure
2,297.3,308.3,1657,31.1,8,No Failure
1,297.1,308.4,1529,40.4,165,No Failure
0,299.8,309.3,1595,32.1,183,No Failure
1,298.1,308.7,1683,29.1,161,No Failure
2,302.2,310.8,1408,46.8,49,No Failure
1,298.6,309.8,1497,41.6,118,No Failure
0,298.1,307.7,1376,56.2,113,No Failure
1,299.1,310.6,1796,26.0,90,No Failure
1,298.5,309.0,1458,44.8,217,No Failure
2,299.4,309.1,1352,44.7,172,No Failure
1,300.6,310.1,1495,42.3,132,No Failure
2,299.0,310.4,1625,37.1,131,No Failure
1,300.3,309.8,1450,55.0,135,No Failure
1,297.7,309.1,1563,39.3,56,No Failure
1,300.7,312.3,1715,26.8,146,No Failure
0,298.6,309.5,1584,31.8,27,No Failure
1,299.2,308.5,1438,46.6,63,No Failure
1,303.7,312.9,1502,40.5,0,No Failure
0,297.7,307.1,1855,22.5,7,No Failure
1,299.5,310.0,1349,52.7,92,No Failure
1,299.0,308.7,2248,16.8,204,No Failure
1,300.3,310.3,1704,29.5,0,No Failure
1,297.7,309.2,1365,58.6,170,No Failure
1,297.1,307.9,1496,44.7,88,No Failure
1,300.8,312.0,1374,50.2,154,No Failure
1,297.5,308.6,1671,29.4,136,No Failure
2,298.7,309.7,1362,50.5,34,No Failure
1,299.8,309.7,1483,39.6,87,No Failure
1,298.3,308.4,1490,41.7,170,No Failure
2,301.1,310.5,1603,32.6,121,No Failure
1,298.2,309.0,1651,31.5,197,No Failure
2,301.1,311.2,1407,53.0,165,No Failure
1,297.8,308.8,1579,32.9,70,No Failure
1,303.7,312.8,1437,51.3,42,No Failure
2,300.7,311.3,1562,37.1,58,No Failure
1,299.3,308.6,1314,48.2,65,No Failure
1,301.8,310.7,1551,37.7,64,No Failure
2,297.6,308.9,1433,43.2,206,No Failure
1,301.3,311.3,1509,42.5,213,No Failure
2,298.8,309.9,1415,53.2,194,No Failure
1,298.2,308.7,1605,29.4,47,No Failure
2,298.5,309.3,1498,34.6,46,No Failure
1,300.9,310.7,1517,41.7,210,No Failure
1,298.7,310.2,1404,50.3,54,No Failure
2,301.1,310.6,1429,52.7,35,No Failure
1,300.2,311.8,1798,23.2,210,No Failure
2,302.3,311.4,1345,47.6,67,No Failure
1,298.7,309.6,1665,31.1,178,No Failure
1,299.1,308.3,1305,61.4,17,No Failure
1,302.2,310.7,1567,36.4,100,No Failure
2,298.0,308.6,1254,55.8,65,No Failure
2,298.4,309.3,1390,53.6,5,No Failure
0,298.9,308.5,1415,54.0,6,No Failure
1,298.3,309.4,1468,46.2,10,No Failure
1,297.6,308.3,1424,53.9,132,No Failure
2,299.2,309.1,1503,34.7,6,No Failure
0,300.5,312.0,1375,43.2,108,No Failure
1,300.8,309.4,1489,38.4,109,No Failure
1,300.3,311.5,1446,45.0,82,No Failure
1,302.3,312.0,1398,43.3,171,No Failure
2,302.2,311.7,1466,49.0,66,No Failure
1,300.1,309.2,1783,27.3,118,No Failure
2,303.4,311.7,1690,34.9,189,No Failure
1,300.3,311.1,1676,28.6,158,No Failure
1,298.9,310.1,1361,51.7,192,No Failure
2,298.7,310.0,1519,38.1,198,No Failure
1,297.7,309.1,1562,36.8,172,No Failure
1,299.2,309.1,1468,45.6,2,No Failure
1,300.6,310.0,1511,36.9,105,No Failure
1,300.1,310.1,1650,31.6,19,No Failure
1,297.5,308.6,1694,27.1,36,No Failure
2,300.4,309.9,1415,31.8,192,No Failure
0,303.4,311.9,1402,50.0,54,No Failure
2,298.1,307.9,1303,53.9,52,No Failure
1,297.4,308.8,1447,58.1,129,No Failure
0,299.2,310.6,1434,48.4,153,No Failure
1,297.3,308.1,1566,35.7,156,No Failure
2,299.9,311.4,1337,54.8,32,No Failure
1,298.4,308.6,1477,44.0,124,No Failure
2,301.4,310.3,1610,29.1,166,No Failure
1,298.7,309.9,1404,47.1,64,No Failure
1,300.3,309.9,1570,34.0,31,No Failure
1,302.7,310.5,1642,30.8,195,No Failure
1,299.2,308.3,1410,43.0,26,No Failure
2,300.6,310.2,1532,38.7,16,No Failure
1,298.8,309.1,1439,39.2,104,No Failure
1,301.1,311.2,1555,35.3,172,No Failure
1,303.3,311.4,1510,37.3,36,No Failure
0,301.0,312.2,1489,40.3,117,No Failure
2,300.7,310.3,1659,29.8,6,No Failure
1,301.7,310.9,1636,31.3,42,No Failure
1,302.4,310.3,1479,36.2,115,No Failure
2,298.9,310.1,1484,40.4,61,No Failure
1,300.2,309.5,1356,51.1,133,No Failure
1,303.8,312.5,1372,45.7,180,No Failure
1,297.4,308.5,1486,48.6,75,No Failure
1,298.8,309.9,1550,38.8,53,No Failure
1,303.3,311.8,1842,24.5,67,No Failure
2,302.6,310.2,2676,10.8,84,Power Failure
1,299.8,309.5,1739,27.5,128,No Failure
2,300.2,310.1,1619,31.3,38,No Failure
0,300.7,309.6,1390,48.5,7,No Failure
2,299.9,309.2,1683,30.5,13,No Failure
2,298.3,307.8,1485,42.0,13,No Failure
0,297.8,309.2,1648,33.0,29,No Failure
1,299.2,308.4,1465,35.0,201,No Failure
1,301.1,311.1,1508,41.5,184,No Failure
2,298.7,309.5,1394,46.0,113,No Failure
2,299.4,308.7,1487,52.6,205,No Failure
1,299.2,310.4,1611,36.4,32,No Failure
2,300.5,312.0,1985,19.3,143,No Failure
1,297.5,308.3,1437,42.3,29,No Failure
2,300.7,310.5,1594,31.0,196,No Failure
0,302.7,310.4,1305,55.2,20,Heat Dissipation Failure
0,299.0,308.7,1940,19.9,98,No Failure
2,299.8,309.1,1355,56.7,7,No Failure
2,302.6,312.1,2000,21.9,200,No Failure
2,296.8,307.5,1470,45.9,132,No Failure
1,301.7,310.6,1660,28.7,66,No Failure
1,302.7,312.2,1572,34.4,228,No Failure
2,300.9,309.7,1394,48.8,192,No Failure
0,300.8,310.6,1465,44.1,136,No Failure
1,300.1,309.6,1565,34.8,32,No Failure
2,298.1,308.7,1362,49.6,158,No Failure
1,296.9,307.7,1653,35.9,177,No Failure
2,298.1,307.9,1759,28.6,176,No Failure
1,302.3,311.6,1665,34.3,139,No Failure
1,303.4,312.9,1389,54.1,109,No Failure
1,302.2,310.9,1531,37.5,60,No Failure
1,299.8,309.4,2256,15.9,201,No Failure
1,300.3,309.6,1326,52.4,57,No Failure
1,303.7,312.3,1349,51.0,105,No Failure
1,299.2,308.9,1368,47.2,175,No Failure
2,300.9,310.0,1416,46.6,201,No Failure
1,298.0,307.6,1450,48.7,138,No Failure
1,300.4,310.1,1503,42.2,196,No Failure
2,300.2,311.6,1513,40.8,157,No Failure
0,300.2,309.7,1483,43.8,108,No Failure
2,300.1,309.7,1348,57.3,48,No Failure
1,297.6,308.3,1595,34.3,41,No Failure
0,299.4,308.6,1542,41.8,166,No Failure
1,304.2,313.3,1668,35.7,180,No Failure
0,300.9,311.9,1513,38.0,38,No Failure
1,300.1,311.5,1499,43.4,65,No Failure
2,304.1,313.3,1480,38.4,72,No Failure
1,297.4,309.2,1428,38.8,26,No Failure
0,302.9,312.3,1754,26.9,209,No Failure
1,297.5,308.6,1380,53.5,192,No Failure
2,302.3,311.2,1842,23.9,111,No Failure
1,301.4,310.6,1481,37.6,77,No Failure
2,298.5,308.0,1713,25.8,154,No Failure
2,298.4,309.5,1484,41.7,119,No Failure
1,300.4,311.1,1487,37.4,162,No Failure
1,304.3,313.3,1775,24.9,39,No Failure
1,297.6,309.0,1487,45.4,64,No Failure
1,299.4,309.1,1957,22.1,55,No Failure
2,297.6,308.3,1567,34.6,71,No Failure
0,301.6,310.7,1414,51.7,197,No Failure
1,298.8,308.4,1401,47.3,10,No Failure
1,299.9,311.3,1802,24.4,151,No Failure
1,300.9,310.9,1497,43.2,62,No Failure
1,302.2,311.5,1427,43.8,88,No Failure
2,301.8,309.8,1546,39.8,121,No Failure
2,302.2,310.9,1302,53.4,58,No Failure
0,304.1,313.3,1397,49.6,34,No Failure
1,297.4,308.3,1561,38.3,0,No Failure
1,300.8,311.4,1322,67.2,18,Power Failure
2,295.6,306.1,1462,49.2,158,No Failure
2,301.8,311.1,1413,42.2,9,No Failure
1,297.9,307.6,1344,54.3,151,No Failure
2,299.7,310.5,1492,39.3,131,No Failure
1,297.6,309.5,1373,50.6,55,No Failure
0,302.0,309.8,1280,57.3,147,Heat Dissipation Failure
2,301.4,310.9,1557,39.3,174,No Failure
0,298.5,309.4,1573,36.0,97,No Failure
1,298.3,309.3,1337,56.1,206,Overstrain Failure
2,303.0,312.5,1602,33.7,135,No Failure
0,298.0,308.8,1411,53.8,73,No Failure
1,298.6,308.4,1397,46.4,36,No Failure
2,300.0,311.3,1629,32.1,55,No Failure
2,303.1,312.4,1378,50.1,104,No Failure
1,300.3,309.2,1807,26.4,169,No Failure
2,297.3,308.0,1403,45.0,77,No Failure
0,298.0,307.4,1606,35.2,195,No Failure
1,297.5,309.4,1497,35.8,44,No Failure
1,301.4,310.7,1706,27.9,170,No Failure
1,301.2,310.9,1597,37.9,164,No Failure
2,303.2,311.5,1336,58.2,2,Heat Dissipation Failure
0,300.7,310.2,1479,52.3,9,No Failure
2,302.4,311.8,1358,50.6,133,No Failure
1,300.3,311.4,1343,57.7,142,No Failure
1,298.2,308.9,1367,45.0,85,No Failure
2,298.7,309.2,1437,45.7,195,No Failure
2,304.0,313.0,1575,34.5,92,No Failure
1,297.9,307.7,1537,37.7,15,No Failure
0,302.8,311.0,1436,43.5,47,No Failure
2,303.4,312.8,1518,38.7,103,No Failure
1,301.4,310.8,1431,44.3,21,No Failure
1,299.7,310.9,1384,48.2,188,No Failure
0,297.5,308.6,1536,38.7,7,No Failure
0,299.9,311.2,1495,35.8,175,No Failure
1,300.7,311.7,1460,46.1,15,No Failure
1,300.0,309.4,1460,43.5,102,No Failure
2,298.1,308.8,1628,37.6,12,No Failure
1,297.9,309.8,1336,71.6,31,Power Failure
1,298.8,308.6,1501,35.0,55,No Failure
1,301.5,310.1,1541,42.2,52,No Failure
2,299.1,310.6,1449,43.2,80,No Failure
1,301.9,310.6,1610,33.4,87,No Failure
2,297.6,308.6,1390,53.4,175,No Failure
2,301.9,309.7,1568,37.5,135,No Failure
1,298.1,308.6,1439,44.9,205,No Failure
2,297.6,308.7,1408,54.8,147,No Failure
1,298.2,308.2,1478,50.1,166,No Failure
1,301.2,310.7,1676,32.4,98,No Failure
1,299.5,309.3,1523,41.5,181,No Failure
1,297.3,308.5,1764,30.8,148,No Failure
1,300.2,309.1,1479,47.0,22,No Failure
1,300.6,310.5,1642,29.9,100,No Failure
1,298.3,308.3,1452,45.5,63,No Failure
2,300.9,310.9,1636,35.3,153,No Failure
2,302.2,311.4,1626,31.6,62,No Failure
1,301.1,311.4,1531,38.7,55,No Failure
1,298.6,308.4,1562,34.4,25,No Failure
2,300.3,311.3,1377,53.8,125,No Failure
1,302.1,310.5,1696,30.9,107,No Failure
1,298.8,310.0,1528,36.7,147,No Failure
1,301.2,310.8,1233,64.6,45,No Failure
1,303.7,312.3,1922,23.1,193,No Failure
0,302.7,310.8,1275,55.0,25,Heat Dissipation Failure
2,302.3,311.8,1879,23.0,124,No Failure
2,300.7,311.0,1263,52.3,104,No Failure
2,300.9,311.0,1567,34.3,130,No Failure
1,300.6,309.6,1682,30.7,78,No Failure
0,299.7,309.2,1456,40.6,182,No Failure
1,299.7,311.1,1554,41.0,192,No Failure
1,297.1,307.8,1454,50.6,94,No Failure
1,301.4,310.5,1380,48.4,131,No Failure
0,303.1,311.3,1494,42.7,221,No Failure
1,297.4,308.8,1467,39.0,128,No Failure
1,301.5,310.4,1329,46.6,24,No Failure
2,301.3,310.8,1509,40.1,25,No Failure
2,297.6,309.6,1330,53.1,7,No Failure
1,297.1,307.8,1584,42.3,135,No Failure
1,300.7,311.7,1635,32.4,213,No Failure
0,300.4,309.9,1513,38.7,76,No Failure
1,297.6,308.3,1742,27.7,13,No Failure
1,303.0,311.1,1980,20.2,137,No Failure
2,302.4,311.1,1480,45.7,200,No Failure
1,301.1,311.3,1268,60.0,53,No Failure
2,297.6,308.6,1482,38.3,39,No Failure
2,302.7,310.5,1398,47.3,70,No Failure
1,303.9,313.3,1526,40.7,164,No Failure
2,303.4,311.7,1515,44.2,168,No Failure
2,298.3,308.1,1722,28.6,89,No Failure
1,303.8,313.1,1309,55.8,193,No Failure
1,300.6,311.5,1459,47.0,63,No Failure
1,303.1,312.4,1407,41.2,107,No Failure
1,301.3,311.0,1542,33.6,80,No Failure
2,302.6,311.0,1542,39.7,141,No Failure
1,301.1,310.5,1428,44.1,103,No Failure
1,299.1,310.3,1411,42.1,74,No Failure
1,300.2,310.6,1431,42.3,113,No Failure
2,300.5,311.9,1323,57.9,155,No Failure
2,299.8,309.7,1320,61.7,134,No Failure
2,300.0,309.0,1368,45.8,81,No Failure
1,297.9,307.6,1481,38.0,40,No Failure
2,297.5,308.6,1349,51.5,21,No Failure
1,301.9,310.3,1398,44.0,65,No Failure
1,297.9,308.0,1296,62.9,41,No Failure
2,298.1,307.8,1384,43.7,200,No Failure
1,298.8,310.6,1602,39.1,211,No Failure
2,303.6,311.8,1659,34.7,94,No Failure
2,302.0,311.1,1406,48.8,159,No Failure
1,299.0,310.0,1484,39.6,212,No Failure
1,298.9,310.2,1409,54.8,140,No Failure
1,302.3,310.7,1402,50.9,157,No Failure
0,296.8,307.8,1627,30.5,117,No Failure
2,303.6,313.0,1396,38.2,117,No Failure
2,298.3,308.5,1434,46.2,148,No Failure
1,298.4,309.1,1579,36.1,123,No Failure
1,301.6,310.7,1494,39.5,24,No Failure
1,299.0,310.2,1494,40.6,67,No Failure
1,299.6,310.8,1507,42.4,108,No Failure
1,300.8,309.8,1657,31.1,151,No Failure
1,300.7,312.3,1548,37.9,58,No Failure
2,301.4,310.6,1855,25.3,178,No Failure
2,300.4,310.2,1671,30.5,234,Tool Wear Failure
1,300.5,311.9,1403,45.7,54,No Failure
2,299.6,310.1,1646,29.6,73,No Failure
1,303.9,313.2,1590,31.9,5,No Failure
1,302.1,310.9,1666,30.7,203,No Failure
2,303.6,312.0,1435,37.9,98,No Failure
2,300.4,311.7,1555,38.7,5,No Failure
1,299.8,309.4,1408,45.6,156,No Failure
2,300.5,309.9,1343,63.7,124,No Failure
1,298.4,309.6,1479,37.8,144,No Failure
1,302.7,311.8,1461,46.1,10,No Failure
2,301.9,311.1,1417,52.5,171,No Failure
1,297.1,307.8,1636,30.3,90,No Failure
1,299.3,309.0,1734,30.6,154,No Failure
1,300.3,311.8,1746,26.3,187,No Failure
1,299.3,309.2,1775,24.2,125,No Failure
1,301.0,311.0,1399,58.0,190,Overstrain Failure
1,297.4,309.2,1698,29.4,119,No Failure
1,300.2,309.7,1771,27.1,104,No Failure
2,301.3,310.4,1577,48.3,78,No Failure
1,297.3,308.6,1385,55.2,156,No Failure
1,302.1,311.5,1444,44.9,97,No Failure
0,300.7,312.4,1457,47.2,74,No Failure
1,300.0,310.2,1760,26.9,193,No Failure
1,296.9,307.8,1653,29.7,137,No Failure
2,300.6,312.0,1490,39.8,94,No Failure
1,295.9,306.6,1557,41.1,113,No Failure
1,300.7,310.6,1407,40.5,87,No Failure
1,297.8,307.8,1761,28.9,128,No Failure
1,297.5,308.5,1373,39.9,110,No Failure
1,297.4,308.5,1692,34.3,83,No Failure
1,301.0,310.5,1379,57.3,204,Overstrain Failure
2,299.8,309.4,1439,47.4,57,No Failure
1,299.4,310.8,1622,33.6,217,No Failure
1,300.6,309.4,1549,43.4,233,No Failure
1,302.9,312.6,1328,59.9,24,No Failure
0,302.2,310.9,1415,48.4,185,No Failure
1,299.9,310.5,1539,32.8,213,No Failure
2,298.4,309.7,1679,33.3,167,No Failure
2,298.7,309.9,1458,40.2,137,No Failure
1,299.3,310.8,1483,43.5,15,No Failure
2,298.2,307.9,1462,38.8,124,No Failure
1,298.5,309.7,1613,36.7,0,No Failure
1,297.8,307.5,1391,48.6,109,No Failure
1,300.4,310.5,1578,32.8,26,No Failure
1,300.2,311.6,1999,21.0,19,No Failure
2,302.3,311.0,1526,37.7,171,No Failure
2,302.2,311.2,1360,52.8,176,No Failure
1,301.5,310.6,1998,20.2,210,No Failure
2,295.5,305.9,1380,52.4,202,No Failure
2,300.8,311.1,1583,32.1,116,No Failure
0,298.3,309.4,1631,29.8,0,No Failure
2,298.9,308.7,1402,49.8,167,No Failure
1,300.3,311.7,1821,26.3,202,No Failure
2,297.2,308.3,1429,42.0,6,No Failure
2,302.2,310.9,1771,27.6,54,No Failure
2,297.9,309.0,1970,21.6,37,No Failure
1,298.1,308.3,1495,38.7,188,No Failure
0,300.3,311.7,1432,47.7,61,No Failure
1,298.3,309.1,1395,49.8,133,No Failure
0,303.1,312.8,1435,41.9,115,No Failure
1,298.4,309.5,1357,50.1,125,No Failure
1,299.3,308.4,1406,47.4,3,No Failure
1,297.9,309.0,1382,43.9,116,No Failure
0,297.0,307.8,1404,40.7,184,No Failure
2,300.6,310.2,1478,40.1,5,No Failure
1,299.5,310.7,1438,45.7,106,No Failure
0,300.2,311.4,1319,54.6,15,No Failure
1,297.4,309.2,1459,37.9,191,No Failure
2,296.6,307.5,1734,27.0,50,No Failure
2,299.4,309.3,1485,47.1,209,No Failure
2,302.2,311.2,1627,33.2,74,No Failure
0,300.9,310.8,1390,40.6,131,No Failure
1,302.4,311.4,1564,35.0,122,No Failure
1,303.1,312.9,1511,40.1,107,No Failure
2,297.4,308.7,1392,46.4,174,No Failure
1,297.3,308.4,1441,43.4,14,No Failure
1,303.0,312.3,1533,38.5,134,No Failure
0,300.1,311.5,1422,46.2,134,No Failure
2,300.6,310.6,1427,52.8,75,No Failure
1,303.7,312.5,1462,46.2,165,No Failure
2,297.8,307.4,1752,26.1,52,No Failure
1,303.1,312.8,2329,15.1,113,No Failure
1,297.2,308.6,1392,41.5,108,No Failure
2,303.3,312.6,1482,44.4,73,No Failure
1,301.4,310.5,1647,33.3,85,No Failure
1,298.9,308.6,2069,18.7,27,No Failure
2,297.8,307.8,1543,43.7,8,No Failure
1,298.8,309.8,1508,36.3,69,No Failure
1,298.9,308.9,1422,47.6,15,No Failure
1,299.9,309.6,1280,59.3,163,No Failure
0,297.8,308.4,1550,38.2,185,No Failure
2,300.8,310.7,1452,43.0,139,No Failure
2,303.5,312.9,1438,42.8,106,No Failure
1,300.5,309.3,1465,46.0,89,No Failure
2,298.8,310.1,1243,74.5,194,Power Failure
2,297.1,308.1,1352,44.4,0,No Failure
1,297.4,308.4,1580,41.2,66,No Failure
2,295.4,305.8,1526,38.2,181,No Failure
1,302.1,311.5,1987,20.1,21,No Failure
1,298.9,310.2,1362,53.0,185,No Failure
0,300.6,310.7,1501,45.3,175,No Failure
1,301.4,310.8,1543,36.9,97,No Failure
1,302.3,311.7,1510,38.7,141,No Failure
0,299.3,309.1,1552,40.7,120,No Failure
2,302.3,311.7,1442,41.7,127,No Failure
1,303.3,311.6,1337,56.8,187,Heat Dissipation Failure
1,301.5,310.4,1543,34.0,55,No Failure
0,302.2,310.0,1468,43.6,38,No Failure
1,302.6,311.9,1633,30.9,89,No Failure
2,297.7,308.8,2089,19.1,111,No Failure
1,302.4,311.8,1648,30.0,122,No Failure
2,303.8,312.7,1919,20.2,131,No Failure
2,302.4,311.1,1432,44.5,195,No Failure
2,298.5,309.3,1488,43.7,189,No Failure
2,300.5,309.5,1320,49.9,59,No Failure
2,297.4,308.4,1789,25.0,210,No Failure
1,300.1,310.5,1532,36.0,109,No Failure
1,297.6,308.6,1522,37.0,106,No Failure
1,300.9,310.4,1544,36.0,148,No Failure
1,301.9,309.7,1424,42.8,140,No Failure
1,298.5,309.9,1482,42.1,15,No Failure
2,299.4,309.1,1500,43.3,10,No Failure
1,298.2,308.3,1688,32.0,202,No Failure
0,297.3,308.0,1384,49.1,206,No Failure
1,302.3,311.4,1511,34.7,75,No Failure
1,300.4,311.2,1351,62.0,18,No Failure
2,299.3,308.5,1305,60.6,44,No Failure
2,297.5,309.4,1391,58.2,34,No Failure
1,300.3,311.5,1663,33.6,38,No Failure
1,302.4,310.3,1374,51.2,163,Heat Dissipation Failure
2,295.5,305.9,1453,47.3,9,No Failure
1,297.4,308.2,1402,49.7,41,No Failure
2,295.7,306.2,1423,42.5,121,No Failure
1,303.5,312.3,1404,48.6,193,No Failure
2,301.7,311.0,1510,47.8,27,No Failure
1,298.1,309.0,1502,40.9,153,No Failure
1,298.9,309.3,1665,32.5,93,No Failure
1,297.7,308.8,1896,24.5,186,No Failure
1,298.3,309.9,1463,43.9,116,No Failure
1,297.2,308.1,1446,38.5,164,No Failure
1,295.8,306.5,1358,49.2,63,No Failure
1,297.5,308.6,1793,26.7,70,No Failure
1,297.5,309.4,1443,45.4,70,No Failure
1,300.8,311.8,1928,21.8,209,No Failure
1,301.7,310.5,1523,34.7,181,No Failure
1,301.1,310.8,1274,55.7,169,No Failure
1,299.2,308.2,1466,41.3,8,No Failure
2,298.4,310.2,1725,32.0,80,No Failure
